"Data Source","Incident Type","Incident Date Time","Incident #","Terrain","Subject Category","Subject Sub-Category","Subject Activity","Age","Sex","Local","Subject Status","Notify hours","Search hours","Total Time Lost","IPP Coord.","Weather","Elevation Change (ft)","Distance IPP (km)","Find Coord","Comments"
"US-OR","Search","23-Mar-13","2013-0680","Mountains","ATV",,,42,"Male","No","Well","4:16","2:35","6:51","46.149593, -123.453725","Showers",-420,15.85,"46.007578, -123.435358","2 male subjects were reported overdue at the Nicolai Mountain OHV Staging Area by their wives.  As the search operation was beginning and volunteers and assets collected, the missing subjects arrived at the staging area assisted by a resident of the Jewell area.  There were no injuries and no health complications.  The missing subjects had become lost while riding ATV's and self-rescued by contacting a residence approximately 18 road miles away from intended destination."
"US-OR","Search","11-Mar-11","2011-0618","Flat","Autism",,,15,"Male","Yes","Well","12:40","3:45","16:25","46.1331869, -123.8587989","Partly cloudy",-10,6.343,"46.189815, -123.8479661","On 03-11-11 at 2045 hours sheriff's deputies responded to rural Astoria, OR in reference to a missing 15-year-old autistic male.  Deputies began gathering background information and started searching the area.  Search & Rescue personnel responded and began searching the area as well.  Approximately 3.5 hours later through the background investigation we learned that the missing subject had been seen walking into Astoria at about the time he disappeared from his residence.  He was relocated by a family friend at a WWI soldier's memorial monument in Astoria about 5 miles from his residence.  The missing subject was released to a deputy then brought home.  No further."
"US-OR","Water - Search","7-Aug-12","2012-1943","Water","Water",,,36,"Male","No","DOA",,"125:10","129:10","46.091144, -122.933778",,-1,,"46.157908, -123.045958","On 08/07/2012 at approx. 01:00 a male fell overboard from the sternwheeler Queen of the West while it was docked in Rainier.  He was seen in the water but then disappeared under the water.  The coast Guard was contacted and a helicopter was sent to help search.  Columbia County Marine Patrol was called at approx. 0400 hrs the Coast Guard called off the search.  Two weeks later the body was found downriver from Rainier."
"US-OR","Search","25-Jul-11","2011-1759","Mountains","Hiker",,,46,"Female","No","Well","42:25","12:30","54:55","45.9553336, -117.7853889","Partly cloudy",1794,7.83,"45.9863226, -117.8758175","[See report for details.]"
"US-OR","Search","2-Jan-10","2010-0020","Hilly","Hunter",,,56,"Male",,"Well",,,"unk","45.95139, -123.07307","Overcast",-20,0.766,"45.94545, -123.06721","[See report for details.]"
"US-OR","Aircraft","20-Oct-12","2012-2566","Hilly","Aircraft","Paragliding",,16,"Male","Yes","Well",,"7:17","7:17","45.9177, -123.9751","Showers",907,10.752,"45.9281, -123.8373","On 10/20/12, 16 year-old [subject] was paragliding near Ecola Point in Cannon Beach.  A strong tailwind caught him and blew him up to approximately 4000' elevation and several miles inland.  His family reported him missing.  [subject] was able to land at an unknown location near a logging road.  He was able to contact a deputy using a cellphone for a short period of time.  A very general search area was established based off his visual references.  Cell location was unusable and the phone died shortly.  Ground SAR teams and the family patrolled logging roads on the ""north"" (physically east on this stretch) side of Highway 26.  Once the search area was covered, we began to expand the search area to the south.  Family located [subject] on the next road to the south of our starting point."
"US-OR","Search","20-Oct-12","2012-2534","mountains","Hunter",,,69,"Male","Yes","Well","18:40","1:55","20:35","45.855636, -123.515436","Drizzle",-448,0.893,"45.85825, -123.526306","Subject deer hunting with his brother planned a ten to fifteen minute hunt from IPP southwest through timber and rugged terrain.  Brother waited at pre-planned point for subject.  After two hours elapsed brother called 911.  Responding deputy notified SAR coordinator who activated SAR and responded to scene for hasty search.  Subject located using sound sweep of forest roads and spurs."
"US-OR","Search","3-Oct-10","2010-2341","Hilly","Hunter",,,64,"Male","Yes","Well",,"4:03","8:03","45.84826878, -123.0044365","Partly cloudy",-102,1.15,"45.83798548, -123.002703","[See report for details.]"
"US-OR","Search","28-Sep-11","2011-2402","Mountains","Hiker",,,41,"Male","Yes","Well",,"16:07","20:07","45.8406253, -123.7590158","Overcast",-108,0.395,"45.8423736, -123.7546097","[See report for details.]"
"US-OR","Water - Search","23-Jul-13","2013-1438-1","Water","Water - Non Powered Boat","Canoe",,51,"Male","No","DOA",,"37:18","41:18","45.831833, -117.9595","Clear",0,0.016,"45.831958, -117.959595","Monday July 22, 2013 at 0830 hrs I received an outside agency request to Union County Sheriff's Office for our Side Scan Sonar.  Report of a man drowned in Jubilee Lake on July 21st.  Side Scan Sonar team was assembled and traveled 10 hours to the lake.  Search was conducted and victim located.  Klamath County Team assisted Union and Baker County with recovery of the victim."
